Name,Platform,Link,Code,Message
Chunker,SPIGOT,https://www.spigotmc.org/resources/chunker.117744/,DISABLED,
DIscordSRV,MODRINTH,https://modrinth.com/plugin/discordsrv,ERROR,Did not find plugin for requested version
FastLoginBukkit,SPIGOT,https://www.spigotmc.org/resources/fastlogin.14153/,,
ForgetfulTrialVault,SPIGOT,https://www.spigotmc.org/resources/forgetful-trial-vault.117786/,,
InteractionVizualizer,MODRINTH,https://modrinth.com/plugin/interactionvisualizer,DISABLED,
InteractiveChat,MODRINTH,https://modrinth.com/plugin/interactivechat,DONE,Done
InteractiveChatDiscordSrvAddon,MODRINTH,https://modrinth.com/plugin/interactivechat-discordsrv-addon/,ERROR,Did not find plugin for requested version
LuckPerms,LUCKPERMS,https://luckperms.net/,UNHANDLED,Unhandled mod platform LUCKPERMS for plugin LuckPerms
MapModCompanion,SPIGOT,https://www.spigotmc.org/resources/mapmodcompanion.105128/,,
PlaceholderAPI,SPIGOT,https://www.spigotmc.org/resources/placeholderapi.6245/,,
ProtocolLib,SPIGOT,https://www.spigotmc.org/resources/protocollib.1997/,,
rtag,SPIGOT,https://www.spigotmc.org/resources/rtag-api-to-edit-block-entity-item-nbt-1-8-8-1-21-10.100694/,,
squaremap,MODRINTH,https://modrinth.com/plugin/squaremap,DONE,Done
squaremap-banners,SQUAREMAP-ADDONS,https://github.com/jpenilla/squaremap-addons,UNHANDLED,Unhandled mod platform SQUAREMAP-ADDONS for plugin squaremap-banners
squaremap-signs,SQUAREMAP-ADDONS,https://github.com/jpenilla/squaremap-addons,UNHANDLED,Unhandled mod platform SQUAREMAP-ADDONS for plugin squaremap-signs
tabtps,SPIGOT,https://www.spigotmc.org/resources/tabtps-1-8-8-1-21-8-show-tps-mspt-and-more-in-the-tab-menu.82528/,,
toolstats,SPIGOT,https://www.spigotmc.org/resources/toolstats.99606/,,
Vault,SPIGOT,https://www.spigotmc.org/resources/vault.34315/,,
WildLoaders,SPIGOT,https://www.spigotmc.org/resources/%E2%9A%A1%EF%B8%8F-wildloaders-%E2%9A%A1%EF%B8%8F-load-chunks-without-alts-%E2%9A%A1%EF%B8%8F-1-21-10-support.87410/,,
